the	ðə
be	bi
of	ʌv
and	ænd
a	ɑː
to	tu
in	ɪn
he	hi
have	hæv
it	ɪt
that	ðæt
for	fɔɹ
they	ðeɪ
I	aɪ
with	wɪð
as	æz
not	nɒt
on	ɒn
she	ʃi
at	æt
by	baɪ
this	ðɪs
we	wi
you	ju
do	du
but	bət
from	frʌm
or	ɔɹ
which	wɪt͡ʃ
one	wʌn
would	wʊd
all	ɔl
will	wɪɫ
there	ðɛɚ
say	seɪ
who	huː
make	meɪk
when	ʍɛn
can	kæn
more	mɔɹ
if	ɪf
no	noʊ
man	mæn
out	aʊt
other	ˈʌðɚ
so	soʊ
what	ʍʌt
time	taɪm
up	ʌp
go	ɡoʊ
about	əˈbaʊt
than	ðɛn
into	ˈɪn.tu
could	kʊd
state	steɪt
only	ˈoʊn.li
new	n(j)u
year	jɪɹ
some	sʌm
take	teɪk
come	kʌm
these	ðiːz
know	noʊ
see	si
use	jus
get	ɡɛt
like	teɪk
then	ðɛn
first	fɝst
any	ˈɛni
work	wɝk
now	naʊ
may	meɪ
such	sʌt͡ʃ
give	ɡɪv
over	ˈoʊ.vɚ
think	θɪŋk
most	moʊst
even	ˈivən
find	faɪnd
day	deɪ
also	ˈɔl.soʊ
after	ˈæf.tɚ
way	weɪ
many	ˈmɛni
must	mʌst
look	lʊk
before	bɪˈfɔɹ
great	ɡɹeɪt
back	bæk
through	θɹu
long	lɔŋ
where	ʍɛɚ
much	mʌtʃ
should	ʃʊd
well	wɛl
people	ˈpipəl
down	daʊn
own	oʊn
just	dʒʌst
because	biˈkɔz
good	ɡʊd
each	it͡ʃ
those	ðoʊz
feel	fiːl
seem	siːm
how	haʊ
high	haɪ
too	tu
place	pleɪs
little	ˈlɪtl̩
world	wɝld
very	ˈvɛɹi
still	stɪl
nation	ˈneɪʃən
hand	hænd
old	oʊld
life	laɪf
tell	tɛl
write	ɹaɪt
become	bəˈkʌm
here	hiɹ
show	ʃoʊ
house	haʊs
both	boʊθ
between	bəˈtwin
need	niːd
mean	miːn
call	kɔl
develop	dɪˈvɛləp
under	ˈʌn.dɚ
last	læst
right	ɹaɪt
move	muːv
thing	θɪŋ
general	ˈdʒɛnəɹəl
school	skuːl
never	ˈnɛ.vɚ
same	seɪm
another	əˈnʌðɚ
begin	bəˈɡɪn
while	ʍaɪl
number	ˈnʌm.bɚ
part	pɑɹt
turn	tɝn
real	ɹiːl
leave	liːv
might	maɪt
want	wɑnt
point	pɔɪnt
form	fɔɹm
off	ɔf
child	t͡ʃaɪld
few	fju
small	smɔl
since	sɪn(t)s
against	əˈɡɛnst
ask	ˈæsk
late	leɪt
home	hoʊm
interest	ˈɪntɹɛst
large	lɑɹdʒ
person	ˈpɝsən
end	ɛnd
open	ˈoʊ.pən
public	ˈpʌblɪk
follow	ˈfɑloʊ
during	ˈdʊəɹɪŋ
present	ˈpɹɛzənt
without	wɪθˈaʊt
again	əˈɡɛn
hold	hoʊld
govern	ˈɡʌvɚn
around	əˈɹæwnd
possible	ˈpɑsəbl̩
head	hɛd
consider	kənˈsɪdɚ
word	wɝd
program	ˈpɹoʊɡɹæm
problem	ˈpɹɒbləm
however	haʊˈɛvɚ
lead	lɛd	lid
system	ˈsɪstəm
set	sɛt
order	ˈɔɹdɚ
eye	aɪ
plan	plæn
run	ɹʌn
keep	kiːp
face	feɪs
fact	fækt
group	ɡɹuːp
play	pleɪ
stand	stænd
increase	ˈɪnkɹiːs	ɪnˈkɹiːs
early	ˈɝli
course	kɔːɹs
change	t͡ʃeɪnd͡ʒ
help	hɛlp
line	laɪn
city	ˈsɪti
put	pʊt
close	kloʊz	kloʊs
case	keɪs
force	fɔɹs
meet	miːt
once	wʌn(t)s
water	ˈwɔtɚ
upon	əˈpɒn
war	wɔɹ
build	bɪld
hear	hɪɹ
light	laɪt
unite	juˈnaɪt
live	lɪv	laɪv
every	ˈɛv.(ə).ɹi
country	ˈkʌntɹi
bring	ˈbɹɪŋ
center	ˈsɛn.tɚ
let	lɛt
side	saɪd
try	tɹaɪ
provide	pɹəˈvaɪd
continue	kənˈtɪnjuː
name	neɪm
certain	ˈsɝtn̩
power	ˈpaʊ.ɚ
pay	peɪ
result	ɹɪˈzʌlt
question	ˈkwɛst͡ʃən
study	ˈstʌdi
woman	ˈwʊmən
member	ˈmɛmbɚ
until	ʌnˈtɪl
far	fɑɹ
night	naɪt
always	ˈɔl.weɪz
service	ˈsɝvɪs
away	əˈweɪ
report	ɹɪˈpɔɹt
something	ˈsʌmθɪŋ
company	ˈkʌmpəni
week	wiːk
church	t͡ʃɝt͡ʃ
toward	twɔɹd
start	stɑɹt
social	səʊʃl̩
room	ɹuːm
figure	ˈfɪɡjɚ
nature	ˈneɪtʃɚ
though	ðoʊ
young	jʌŋ
less	lɛs
enough	ɪˈnʌf
almost	ˈɔl.moʊst
read	ɹiːd	ɹɛd
include	ɪnˈkluːd
president	ˈpɹɛzɨdənt
nothing	ˈnʌθɪŋ
yet	jɛt
better	'bɛɾɚ
big	bɪɡ
boy	bɔɪ
cost	ˈkɔst
business	ˈbɪznɪs
value	ˈvælju
second	ˈsɛk.(ə)nd
why	ʍaɪ
clear	klɪɚ
expect	ɛkˈspɛkt
family	ˈfæmli
complete	kəmˈpliːt
act	ækt
sense	sɛn(t)s
mind	maɪnd
experience	ɪkˈspɪɹ.i.əns
art	ɑɹt
next	nɛkst
near	nɪɹ
direct	dɪˈɹɛkt
car	kɑɹ
law	lɔ
industry	ˈɪndəstɹi
important	ɪmˈpɔɹtənt
girl	ɡɝl
god	ɡɑːd
several	ˈsɛv(ə)ɹəl
matter	ˈmæɾɚ
usual	ˈjuːʒuəl
rather	ˈɹæðɚ
per	pɝ
often	ˈɔfn̩
kind	kaɪnd
among	əˈmʌŋ
white	waɪt
reason	ˈɹiːzən
action	ˈæk.ʃən
return	ɹɪˈtɝn
